TEXTOS EXTRAÍDOS DEL ARCHIVO DXF:
================================================================================
Capas disponibles: 0, TERRENO, LINEAS-DETALLES, TUBO-CONDENSADO-12, LINEAS-TUBO, LAMINA, ABS-HORIZ, ABS-PISADA, FORMATO, FORMATO-2, TXT-PERFIL, CAMISAS, COTA-TER, COTA-CLAVE, TXT-PEND, COTA-FONDO, ALCANTARILLA-PER, VALVULA-VENTEO, MALLA, MALLA2, BARRERA, LINEAS, TUBO-SALMUERA-AS-8, DEFPOINTS, FONDO, FILTROS, DET, ABS-PISADA-T, POSTE-BRINSA, COTA-CLAVE-SAL, CONSTRUCCION, RELLENO, CORTACORRIENTE, PIEDRA-PEGADA, VALVULA-SECCION, SILLETAS, BOX, REVESTIMIENTO, RED-ACUEDUCTO, RED-GAS, RED-ALCANTARILLADO, MARCOS-H, FIBRA_OPTICA, TUBO-CONDENSADO-AS, CENTERLINE
================================================================================


CAPA: ABS-HORIZ
----------------------------------------
  [X=9145.9, Y=25299.9]: K9+146.18
  [X=9165.9, Y=25299.9]: K9+166.18
  [X=9185.9, Y=25299.9]: K9+186.18
  [X=9225.9, Y=25299.9]: K9+226.18
  [X=9245.9, Y=25299.9]: K9+246.18
  [X=9265.9, Y=25299.9]: K9+266.18
  [X=9285.9, Y=25299.9]: K9+286.18
  [X=9305.9, Y=25299.9]: K9+306.18
  [X=9325.9, Y=25299.9]: K9+326.18
  [X=9345.9, Y=25299.9]: K9+346.18
  [X=9365.9, Y=25299.9]: K9+366.18
  [X=9385.9, Y=25299.9]: K9+386.18
  [X=9405.9, Y=25299.9]: K9+406.18
  [X=9425.9, Y=25299.9]: K9+426.18
  [X=9445.9, Y=25299.9]: K9+446.18
  [X=9465.9, Y=25299.9]: K9+466.18
  [X=9485.9, Y=25299.9]: K9+486.18
  [X=9505.9, Y=25299.9]: K9+506.18
  [X=9525.9, Y=25299.9]: K9+526.18
  [X=9545.9, Y=25299.9]: K9+546.18
  [X=9565.9, Y=25299.9]: K9+566.18
  [X=9585.9, Y=25299.9]: K9+586.18
  [X=9605.9, Y=25299.9]: K9+606.18
  [X=9625.9, Y=25299.9]: K9+626.18
  [X=9645.9, Y=25299.9]: K9+646.18
  [X=9665.9, Y=25299.9]: K9+666.18
  [X=9685.9, Y=25299.9]: K9+686.18
  [X=9705.9, Y=25299.9]: K9+706.18
  [X=9745.9, Y=25299.9]: K9+746.18
  [X=9765.9, Y=25299.9]: K9+766.18
  [X=9785.9, Y=25299.9]: K9+786.18
  [X=9805.9, Y=25299.9]: K9+806.18
  [X=9825.9, Y=25299.9]: K9+826.18
  [X=9845.9, Y=25299.9]: K9+846.18
  [X=9865.9, Y=25299.9]: K9+866.18
  [X=9898.9, Y=25299.9]: K9+900.00
  [X=9916.8, Y=25299.9]: K9+918.00
  [X=9965.9, Y=25299.9]: K9+966.18
  [X=9985.9, Y=25299.9]: K9+986.18
  [X=10005.9, Y=25299.9]: K10+006.18
  [X=10025.9, Y=25299.9]: K10+026.18
  [X=10045.9, Y=25299.9]: K10+046.18
  [X=10065.9, Y=25299.9]: K10+066.18
  [X=10135.9, Y=25299.9]: K10+136.18
  [X=10155.9, Y=25299.9]: K10+156.18
  [X=10215.6, Y=25299.9]: K10+215.87
  [X=10265.9, Y=25299.9]: K10+266.18
  [X=10285.9, Y=25299.9]: K10+286.18
  [X=10305.9, Y=25299.9]: K10+306.18
  [X=10325.9, Y=25299.9]: K10+326.18
  [X=10345.9, Y=25299.9]: K10+346.18
  [X=10365.9, Y=25299.9]: K10+366.18
  [X=10385.9, Y=25299.9]: K10+386.18
  [X=10405.9, Y=25299.9]: K10+406.18
  [X=10425.9, Y=25299.9]: K10+426.18
  [X=10445.9, Y=25299.9]: K10+446.18
  [X=10465.9, Y=25299.9]: K10+466.18
  [X=10485.9, Y=25299.9]: K10+486.18
  [X=10505.9, Y=25299.9]: K10+506.18
  [X=10525.9, Y=25299.9]: K10+526.18
  [X=10585.9, Y=25299.9]: K10+586.18
  [X=10605.9, Y=25299.9]: K10+606.18
  [X=10625.9, Y=25299.9]: K10+626.18
  [X=10645.9, Y=25299.9]: K10+646.18
  [X=10655.9, Y=25299.9]: K10+656.18
  [X=10705.9, Y=25299.9]: K10+706.18
  [X=10738.7, Y=25299.9]: K10+739
